GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "29000","Missouri",4,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",5321972,5498070,5909291,6254874,6572004,7024286,7358535,7857706,8354415,8902892,9622901,9875964,10131956,10368753,10798047,11366601,12172241,12486052,13313935,12617330,12803608,12887674,13801956,13769089,14161653,14798727,15008907,15749006,16463732,17266550,17188529,18430622,19867250
 "29000","Missouri",4,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",-2599982,-2591872,-2715819,-2833834,-2860155,-3110156,-3209628,-3388252,-3550710,-3679974,-3963766,-4019437,-4132039,-4182675,-4282438,-4572755,-4975859,-4843232,-5426497,-5120059,-4928415,-4338228,-4879543,-4730051,-4788655,-4946776,-5111048,-5469554,-5794503,-6208919,-5955021,-6404690,-7161031
 "30000","Montana",7,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",35455,37544,39877,42420,46785,50101,54507,59391,64653,69336,76160,79732,80632,82783,87719,92145,101058,111917,127702,131384,171608,286783,474248,559757,664475,544336,373067,418737,496586,530699,400795,374345,458186
 "30000","Montana",7,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",39815,48968,41916,41670,41548,41607,43100,46282,46836,48011,50168,51872,54322,58771,64353,72305,86382,94910,100448,94266,97285,107028,115871,112844,117067,116402,103776,106836,116125,115878,106529,108127,120345
 "30000","Montana",7,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",-4360,-11424,-2039,750,5237,8494,11407,13109,17817,21325,25992,27860,26310,24012,23366,19840,14676,17007,27254,37118,74323,179755,358377,446913,547408,427934,269291,311901,380461,414821,294266,266218,337841
 "31000","Nebraska",4,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",277790,294036,319923,340143,388729,427811,477271,493611,546546,568867,613585,641735,661681,684207,731163,782060,868976,885207,910762,894720,931556,985996,1107718,1196902,1344524,1372964,1372742,1395355,1515776,1602061,1600578,1727893,1879904
 "31000","Nebraska",4,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",668857,720939,790840,826674,890719,975417,1076358,1170380,1260882,1368547,1481146,1516481,1563123,1621118,1674220,1722121,1725257,1832575,1890256,1851562,1829712,1949237,2106230,2165879,2281017,2392933,2440108,2561936,2638317,2739589,2790955,2984965,3228451
 "31000","Nebraska",4,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",-391067,-426903,-470917,-486531,-501990,-547606,-599087,-676769,-714336,-799680,-867561,-874746,-901442,-936911,-943057,-940061,-856281,-947368,-979494,-956842,-898156,-963241,-998512,-968977,-936493,-1019969,-1067366,-1166581,-1122541,-1137528,-1190377,-1257072,-1348547
 "32000","Nevada",8,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",186211,224954,300672,310142,349961,404673,452311,544945,594854,644638,758236,810331,842133,897746,979296,1057681,1153996,1240001,1261776,1176015,1201845,1276336,1346360,1427001,1489507,1625126,1710492,1788453,1949364,1928906,1951632,2263715,2284001
 "32000","Nevada",8,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",562737,570431,605784,653905,703617,753432,820404,872968,944621,1026592,1096396,1164574,1205928,1307713,1473889,1606728,1627637,1639944,1582101,1483337,1453490,1421628,1503188,1563012,1666362,1752770,1911868,1983123,2156255,2210455,2138235,2485335,2817349
 "32000","Nevada",8,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",-376526,-345477,-305112,-343763,-353656,-348759,-368093,-328023,-349767,-381954,-338160,-354243,-363795,-409967,-494593,-549047,-473641,-399943,-320325,-307322,-251645,-145292,-156828,-136011,-176855,-127644,-201376,-194670,-206891,-281549,-186603,-221620,-533348
 "33000","New Hampshire",1,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",3209997,3333382,3480573,3658254,3845719,3946313,4210374,4591782,4986043,5541830,6380938,6553823,6458842,6571964,7028080,7167046,7516871,8039989,8305258,7700725,8248126,8823706,9298746,9075134,9134760,9918724,10387957,10739386,11367383,12325465,12757387,12538405,13981803
 "33000","New Hampshire",1,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",1238224,1215188,1303310,1355642,1447098,1555354,1644520,1788951,2082070,2166011,2360220,2490010,2523305,2621989,2798265,2945548,3141242,3292585,3427068,3539233,3480523,3737612,3805826,3875105,4192633,4445180,4533965,4654632,4955618,5016929,5390022,7658677,7177222
 "33000","New Hampshire",1,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",1971773,2118194,2177263,2302612,2398621,2390959,2565854,2802831,2903973,3375819,4020718,4063813,3935537,3949975,4229815,4221498,4375629,4747404,4878190,4161492,4767603,5086094,5492920,5200029,4942127,5473544,5853992,6084754,6411765,7308536,7367365,4879728,6804581
 "34000","New Jersey",2,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",22224425,22510020,25212323,25638018,26293546,28116855,30747530,33837418,37017902,39594607,44714311,45763935,44125222,44834813,49084403,52800534,58835354,66416220,67065057,56639401,62625024,67488755,70894810,71532544,74784487,77844609,79775738,84992355,90081450,97712897,101124832,108920151,118900034
 "34000","New Jersey",2,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",11870798,12197897,13146580,13386740,14059555,14751244,15426050,15755802,17421651,18098342,20167276,20582542,21294420,21750259,22930314,24195040,24943175,26105674,27495951,25508070,27564910,28367641,31129596,30743397,31107101,32171587,32360881,34414720,34940925,35956919,35808419,40048286,41682871
 "34000","New Jersey",2,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",10353627,10312123,12065743,12251278,12233991,13365611,15321480,18081616,19596251,21496265,24547035,25181393,22830802,23084554,26154089,28605494,33892179,40310546,39569106,31131331,35060114,39121114,39765214,40789147,43677386,45673022,47414857,50577635,55140525,61755978,65316413,68871865,77217163
 "35000","New Mexico",6,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",281175,306518,338870,370975,399652,429288,459487,500383,547956,593441,648255,663016,708785,741328,751062,787392,851892,915479,968095,965487,957523,987046,1016437,998142,1055342,1063276,1067354,1133553,1229338,1293359,1274162,1345348,1476213
 "35000","New Mexico",6,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",231852,245072,261565,275314,288618,307190,317732,337203,361458,378611,408484,451394,490940,535268,592421,695678,747656,819293,894809,878669,930604,988882,1013737,1036673,1102119,1102951,1065680,1099735,1258194,1266172,1145691,1175822,1303753
 "35000","New Mexico",6,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",49323,61446,77305,95661,111034,122098,141755,163180,186498,214830,239771,211622,217845,206060,158641,91714,104236,96186,73286,86818,26919,-1836,2700,-38531,-46777,-39675,1674,33818,-28856,27187,128471,169526,172460
 "36000","New York",2,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",9672941,9974148,10298334,10642932,11440242,11430604,11940733,12646763,13592276,14939805,17108781,17282208,17322975,17543343,18233750,19016653,19775305,20833121,20895031,19990831,20787711,21987538,22962387,23018954,23664320,24552793,24756113,25477242,26193941,26689774,26643177,28774247,30840622
 "36000","New York",2,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",23143666,23422371,26878709,26993936,27785306,30008083,33370471,36637158,40885063,43442913,49407817,50419040,48305693,49131460,54502088,59271628,66660746,76773579,77301194,64008627,71066151,75982490,79371318,79337288,83871338,87008934,88809334,95306570,102810588,113781494,121408414,127083215,141002006
 "36000","New York",2,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",-13470725,-13448223,-16580375,-16351004,-16345064,-18577479,-21429738,-23990395,-27292787,-28503108,-32299036,-33136832,-30982718,-31588117,-36268338,-40254975,-46885441,-55940458,-56406163,-44017796,-50278440,-53994952,-56408931,-56318334,-60207018,-62456141,-64053221,-69829328,-76616647,-87091720,-94765237,-98308968,-110161384
 "37000","North Carolina",5,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",1091497,1134619,1234997,1324101,1396830,1485604,1578859,1702807,1888498,2041424,2181372,2303663,2433081,2685010,2901071,3152618,3386145,3624838,3767349,3700135,3878922,4217504,4458133,4658454,4973540,5212481,5600352,5996709,6259301,6821547,7027058,7708818,8392144
 "37000","North Carolina",5,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",1549082,1574784,1699482,1805364,1943204,2103403,2260866,2462456,2626310,2848277,3102218,3234000,3331767,3440141,3657512,3978757,4397900,4867727,5041534,4748894,4842012,5108379,5396957,5506999,5894181,6374985,6895097,7356159,7818272,8438281,8854258,9717213,10951850
 "37000","North Carolina",5,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",-457585,-440165,-464485,-481263,-546374,-617799,-682007,-759649,-737812,-806853,-920846,-930337,-898686,-755131,-756441,-826139,-1011755,-1242889,-1274185,-1048759,-963090,-890875,-938824,-848545,-920641,-1162504,-1294745,-1359450,-1558971,-1616734,-1827200,-2008395,-2559706
 "38000","North Dakota",4,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",163054,180907,201711,213602,233149,244432,254052,268854,294622,308123,321087,332850,352958,371754,390551,399503,416898,441980,471353,476980,487340,526320,567437,562168,603390,603828,611052,643240,689006,732285,786881,872946,946495
 "38000","North Dakota",4,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",347225,371841,407652,438985,473661,506276,548042,589824,638617,678554,724977,765055,800048,841237,912307,969611,1051406,1145454,1233054,1279773,1454069,1847683,2468612,2853410,3238279,2988263,2580082,2725821,2969910,3103998,2800526,2831414,3206978
 "38000","North Dakota",4,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",-184171,-190934,-205941,-225383,-240512,-261844,-293990,-320970,-343995,-370431,-403890,-432205,-447090,-469483,-521756,-570108,-634508,-703474,-761701,-802793,-966729,-1321363,-1901175,-2291242,-2634889,-2384435,-1969030,-2082581,-2280904,-2371713,-2013645,-1958468,-2260483
 "39000","Ohio",3,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",2395358,2509013,2698989,2799344,3019702,3167203,3369597,3628595,3861150,4206255,4585874,4807565,4998492,5219030,5561822,5821158,6026706,6235075,6391542,6106318,6370176,6837879,7451783,7274203,7493869,7689286,7772297,8226170,9038275,9215883,9087103,10026753,10696231
 "39000","Ohio",3,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",3488414,3623815,3928954,4126728,4470068,4658104,4915748,5272116,5680470,5994841,6334441,6544247,6754161,6987124,7274946,7549280,7911790,8208825,8355864,7942998,8164776,8759579,9339665,9589638,10048451,10281400,10461873,10688567,11049398,11476947,11478154,12204503,13050155
 "39000","Ohio",3,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",-1093056,-1114802,-1229965,-1327384,-1450366,-1490901,-1546151,-1643521,-1819320,-1788586,-1748567,-1736682,-1755669,-1768094,-1713124,-1728122,-1885084,-1973750,-1964322,-1836680,-1794600,-1921700,-1887882,-2315435,-2554582,-2592114,-2689576,-2462397,-2011123,-2261064,-2391051,-2177750,-2353924
 "40000","Oklahoma",6,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",741131,778062,831537,871369,929707,975698,1019345,1115130,1172721,1243068,1351117,1386489,1384417,1405679,1449092,1489829,1553745,1586625,1596876,1477392,1476990,1529040,1572883,1564587,1616599,1634104,1631280,1690256,1786130,1824596,1822938,1956570,2151577
 "40000","Oklahoma",6,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",172744,180859,213106,214707,215839,229135,239863,256429,279970,304146,332314,372495,398724,438990,500190,578898,671133,740232,806392,798189,865268,968498,1022256,1092537,1154962,1199893,1175655,1246982,1311255,1356322,1363866,1364872,1499563
 "40000","Oklahoma",6,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",568387,597203,618431,656662,713868,746563,779482,858701,892751,938922,1018803,1013994,985693,966689,948902,910931,882612,846393,790484,679203,611722,560542,550627,472050,461637,434211,455625,443274,474875,468274,459072,591698,652014
 "41000","Oregon",8,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",714430,763307,803638,843953,954044,998665,1006387,1089537,1190656,1342050,1487903,1489365,1457825,1458024,1499938,1540630,1577300,1617126,1591563,1506453,1516292,1562676,1642836,1636911,1741750,1850594,1942970,2084606,2237877,2363062,2452128,2745138,2919399
 "41000","Oregon",8,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",1332496,1446217,1583156,1718931,1895183,2117948,2361159,2629869,2854288,3099066,3486700,3600355,3646997,3824151,4091937,4423886,4851417,5162510,5258205,4996320,4886659,5265082,5556229,5542774,5628341,5990823,6470065,6816435,7352210,7830926,8442165,9096410,10087523
 "41000","Oregon",8,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",-618066,-682910,-779518,-874978,-941139,-1119283,-1354772,-1540332,-1663632,-1757016,-1998797,-2110990,-2189172,-2366127,-2591999,-2883256,-3274117,-3545384,-3666642,-3489867,-3370367,-3702406,-3913393,-3905863,-3886591,-4140229,-4527095,-4731829,-5114333,-5467864,-5990037,-6351272,-7168124
 "42000","Pennsylvania",2,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",7098900,7332111,7886073,8298396,8811958,9587729,10268380,11215135,12321308,13214159,14571059,15405466,16014939,16941503,18344302,20005530,21360073,23122347,23948801,22468784,23652415,24637984,25996978,26101576,27677760,28623252,29261374,30802996,32355233,34022959,34731375,37017107,39406008
 "42000","Pennsylvania",2,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",6060004,6279610,6660144,6958765,7159873,7420895,7835017,8342504,9050590,9657795,10515077,11088262,11427176,11865616,12478125,13117633,14025366,14901273,15376793,15141326,15653709,16774374,17771918,17963314,18707578,19673488,19826749,20807821,21480853,22384008,22160743,23640594,25362260
 "42000","Pennsylvania",2,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",1038896,1052501,1225929,1339631,1652085,2166834,2433363,2872631,3270718,3556364,4055982,4317204,4587763,5075887,5866177,6887897,7334707,8221074,8572008,7327458,7998706,7863610,8225060,8138262,8970182,8949764,9434625,9995175,10874380,11638951,12570632,13376513,14043748
 "44000","Rhode Island",1,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",1668349,1677558,1773436,1874023,1996963,2113084,2249267,2420243,2620915,2841758,3155669,3393051,3535458,3694403,4095263,4107440,4365290,4619478,4549223,4439370,4508279,5014772,5437144,5669297,5658478,6027079,6216046,6668743,7126362,8152678,8424286,8859039,8941092
 "44000","Rhode Island",1,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",997641,980995,1055389,1113411,1167333,1253955,1320645,1425265,1547394,1666608,1820320,1964078,2120093,2318171,2496386,2667910,2912963,3089968,3238053,3200728,3484782,3734825,4014202,4254070,4505016,4686242,4795354,5010067,5065530,5124412,5238820,5609100,5979239
 "44000","Rhode Island",1,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",670708,696563,718047,760612,829630,859129,928622,994978,1073521,1175150,1335349,1428973,1415365,1376232,1598877,1439530,1452327,1529510,1311170,1238642,1023497,1279947,1422942,1415227,1153462,1340837,1420692,1658676,2060832,3028266,3185466,3249939,2961853
 "45000","South Carolina",5,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",1594966,1615438,1729880,1821942,1951594,2102486,2268350,2463363,2651403,2869381,3155723,3307245,3426615,3591536,3821662,4174436,4593258,5078617,5268531,5085803,5158108,5457604,5846318,6037610,6453396,6997534,7581220,8090474,8545752,9230985,9754219,10701703,11849884
 "45000","South Carolina",5,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",1087605,1121154,1226342,1302125,1315323,1335170,1390540,1427332,1535974,1666004,1726512,1787815,1870494,2000885,2147862,2305947,2450950,2564719,2674578,2502744,2632988,2896219,2995494,3084515,3341513,3511628,3675429,4015173,4294959,4714848,4773481,5180657,5602328
 "45000","South Carolina",5,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",507361,494284,503538,519817,636271,767316,877810,1036031,1115429,1203377,1429211,1519430,1556121,1590651,1673800,1868489,2142308,2513898,2593953,2583059,2525120,2561385,2850824,2953095,3111883,3485906,3905791,4075301,4250793,4516137,4980738,5521046,6247556
 "46000","South Dakota",4,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",69075,78176,90069,102254,115018,141973,149040,184935,199964,219733,250277,258705,267848,281220,293577,322042,355764,405246,443090,431093,446287,433542,476449,494099,553429,584083,560589,534681,549415,556931,577473,601253,695244
 "46000","South Dakota",4,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",123314,145919,175047,202622,245438,291878,337828,370589,432559,469062,517417,523452,504667,506535,514665,493453,497041,544685,546553,499882,517522,546462,548383,532421,574950,595639,613957,646425,675783,697017,720723,785425,855461
 "46000","South Dakota",4,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",-54239,-67743,-84978,-100368,-130420,-149905,-188788,-185654,-232595,-249329,-267140,-264747,-236819,-225315,-221088,-171411,-141277,-139439,-103463,-68789,-71235,-112920,-71934,-38322,-21521,-11556,-53368,-111744,-126368,-140086,-143250,-184172,-160217
 "47000","Tennessee",5,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",1678684,1794965,2155674,2235086,2379280,2526452,2707349,2750011,2928026,3063853,3186523,3342191,3493815,3710876,3902812,4325155,4669540,4915817,5212971,5241677,5575563,5954934,6083509,5956185,6161110,6373077,6405256,6522919,6735862,6775454,7123309,7836431,8582376
 "47000","Tennessee",5,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",2307439,2417063,2638365,2830770,3066206,3293713,3492112,3780504,4102783,4422706,4736231,4905265,5047262,5271555,5547597,5784385,6055134,6401902,6600086,6213492,6325986,6718616,7160500,7198546,7363561,7695557,8001673,8275456,8711913,9104545,9332614,10136226,10938148
 "47000","Tennessee",5,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",-628755,-622098,-482691,-595684,-686926,-767261,-784763,-1030493,-1174757,-1358853,-1549708,-1563074,-1553447,-1560679,-1644785,-1459230,-1385594,-1486085,-1387115,-971815,-750423,-763682,-1076991,-1242361,-1202451,-1322480,-1596417,-1752537,-1976051,-2329091,-2209305,-2299795,-2355772
 "48000","Texas",6,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",1090859,1146769,1236680,1307931,1386373,1464239,1566429,1697709,1864110,2035807,2251252,2377420,2454592,2582002,2777837,3011044,3260886,3521773,3723914,3563352,3698947,3946332,4134460,4286790,4650797,4843932,5020595,5427627,5745013,5783874,5586513,6015275,6449416
 "48000","Texas",6,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",1575329,1709606,1822482,1914453,2057643,2216884,2389498,2660636,2922513,3118572,3431360,3562373,3611628,3663429,3775908,3978173,4312374,4661198,4923344,4970990,5237424,5796865,6351803,6681804,7109601,7291094,7165052,7314133,7739661,8161579,7751456,8161934,9093602
 "48000","Texas",6,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",-484470,-562837,-585802,-606522,-671270,-752645,-823069,-962927,-1058403,-1082765,-1180108,-1184953,-1157036,-1081427,-998071,-967129,-1051488,-1139425,-1199430,-1407638,-1538477,-1850533,-2217343,-2395014,-2458804,-2447162,-2144457,-1886506,-1994648,-2377705,-2164943,-2146659,-2644186
 "49000","Utah",7,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",137557,144031,155230,172588,193337,204542,226251,250038,271752,300498,335200,343251,346975,361212,388973,423206,464569,500693,524670,471817,476074,500812,542305,568612,599218,611663,606429,638515,685163,721144,714402,776247,847790
 "49000","Utah",7,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",120691,132534,148675,165462,186393,204244,225854,250186,275576,301818,330316,343467,349144,359975,386950,407841,445074,484788,491080,464578,474823,501855,525844,540913,565426,603569,633978,671783,716082,769967,810797,911334,984992
 "49000","Utah",7,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",16866,11497,6555,7126,6944,298,397,-148,-3824,-1320,4884,-216,-2169,1237,2023,15365,19495,15905,33590,7239,1251,-1043,16461,27699,33792,8094,-27549,-33268,-30919,-48823,-96395,-135087,-137202
 "50000","Vermont",1,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",337128,351958,387831,419632,456141,484753,518443,567344,629110,682123,748885,780577,810378,848598,885698,922003,973918,1018421,1045974,1052042,1091916,1141960,1174556,1221510,1254905,1307700,1339310,1362285,1414661,1470709,1502438,1613205,1716579
 "50000","Vermont",1,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",285129,292345,319731,341799,363152,378689,396416,420931,454810,486575,522096,543792,576046,598086,648838,673026,693261,727795,760912,720791,761942,836770,861968,883894,884254,936993,961024,943357,983864,977283,1031353,1064677,1198743
 "50000","Vermont",1,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",51999,59613,68100,77833,92989,106064,122027,146413,174300,195548,226789,236785,234332,250512,236860,248977,280657,290626,285062,331251,329974,305190,312588,337616,370651,370707,378286,418928,430797,493426,471085,548528,517836
 "51000","Virginia",5,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",11569102,12251419,13190137,13839922,14207379,14706239,14902796,16236965,16933355,19615223,19362888,20414974,21832362,23281339,24961942,26323277,28246905,29702573,31884233,31805497,33791584,36398935,36365316,35641783,37941369,39225848,41001744,42387088,43835990,43762319,44705050,48015589,50221845
 "51000","Virginia",5,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",6372954,6622617,7158504,7496076,7938380,8330732,8977911,9754724,10721950,11693571,13300372,13840267,13748033,14497781,15713127,16805641,17434872,18282586,18622125,18715737,19188823,19520350,19514947,19034877,19428259,20266099,21161195,22032374,23033045,24412464,25466630,27035619,29312529
 "51000","Virginia",5,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",5196148,5628802,6031633,6343846,6268999,6375507,5924885,6482241,6211405,7921652,6062516,6574707,8084329,8783558,9248815,9517636,10812033,11419987,13262108,13089760,14602761,16878585,16850369,16606906,18513110,18959749,19840549,20354714,20802945,19349855,19238420,20979970,20909316
 "53000","Washington",8,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",1759726,1902804,2083648,2240800,2434957,2660794,2932803,3230649,3503913,3792020,4319342,4442335,4497805,4675276,4966186,5315534,5833935,6185454,6239024,5923709,5872572,6315112,6592778,6621603,6752245,7210061,7711822,8119529,8738944,9205439,9714593,10522087,11633128
 "53000","Washington",8,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",841506,912560,982539,1044917,1185103,1253485,1305694,1445039,1611924,1833574,2038295,2066361,2066519,2108920,2200839,2282919,2391987,2520176,2557146,2529417,2631725,2790340,2983880,3041336,3219187,3384830,3603409,3857944,4135853,4455775,4518162,4991068,5444571
 "53000","Washington",8,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",918220,990244,1101109,1195883,1249854,1407309,1627109,1785610,1891989,1958446,2281047,2375974,2431286,2566356,2765347,3032615,3441948,3665278,3681878,3394292,3240847,3524772,3608898,3580267,3533058,3825231,4108413,4261585,4603091,4749664,5196431,5531019,6188557
 "54000","West Virginia",5,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",1368532,1406078,1538055,1600122,1739835,1820209,1915374,2086558,2293495,2493351,2686537,2903778,3018738,3206318,3467780,3794486,4079797,4362553,4577106,4475254,4621091,4845409,4854228,4902347,5067881,5179430,5355642,5575205,5770347,6098918,6301590,6728537,7400129
 "54000","West Virginia",5,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",1276467,1331783,1404126,1468551,1559229,1596541,1680978,1694091,1854665,1992536,2061292,2131497,2202509,2245884,2378404,2506052,2743086,2876745,3135812,3146700,3161606,3377372,3638898,3646999,3598469,3711046,3640933,3956209,4537092,4372084,4136658,4408389,4619178
 "54000","West Virginia",5,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",92065,74295,133929,131571,180606,223668,234396,392467,438830,500815,625245,772281,816229,960434,1089376,1288434,1336711,1485808,1441294,1328554,1459485,1468037,1215330,1255348,1469412,1468384,1714709,1618996,1233255,1726834,2164932,2320148,2780951
 "55000","Wisconsin",3,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",2078855,2181673,2381204,2520968,2744713,2936218,3156474,3456119,3779684,4074363,4450915,4692549,4873063,5069433,5304756,5609026,5887346,6264750,6387227,5903243,5993760,6413726,6628903,6827888,7098815,7464648,7598387,7920300,8216056,8580433,8495013,9088626,9728997
 "55000","Wisconsin",3,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",736365,818932,919279,1002331,1088986,1161411,1238308,1335369,1473523,1597416,1743508,1853520,1948001,2068549,2197966,2308607,2464171,2581170,2659465,2612470,2751137,3053829,3330159,3568103,3605353,3828286,3863705,4009594,4276831,4375490,4394273,4838723,5136093
 "55000","Wisconsin",3,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",1342490,1362741,1461925,1518637,1655727,1774807,1918166,2120750,2306161,2476947,2707407,2839029,2925062,3000884,3106790,3300419,3423175,3683580,3727762,3290773,3242623,3359897,3298744,3259785,3493462,3636362,3734682,3910706,3939225,4204943,4100740,4249903,4592904
 "56000","Wyoming",7,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",75381,89440,88644,94068,100049,106320,114669,125192,134684,146291,162862,164408,165672,167353,178900,181381,193122,214460,227749,209267,211789,241290,290572,338107,375752,353838,282860,310293,365327,385722,332863,339856,395241
 "56000","Wyoming",7,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",85971,90444,94768,101984,107520,111278,114226,119880,126898,139399,149099,173604,195042,217309,241498,274685,333838,391806,444051,424892,449433,488638,536226,572556,597437,591077,557469,572817,611819,646172,617122,661595,711397
 "56000","Wyoming",7,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",-10590,-1004,-6124,-7916,-7471,-4958,443,5312,7786,6892,13763,-9196,-29370,-49956,-62598,-93304,-140716,-177346,-216302,-215625,-237644,-247348,-245654,-234449,-221685,-237239,-274609,-262524,-246492,-260450,-284259,-321739,-316156
"Note: See the included footnote file."
"SAINC91: Gross flow of earnings "
"Last updated: September 29, 2023-- new statistics for 2022; revised statistics for 2002-2021."
"U.S. Bureau of Economic Analysis"
