state,year,total_housing,total_hh,avg_hh_size,occ_housing,vacant_housing,ho_vac_rate,ren_vac_rate,median_rooms,median_value,ho_housing,housing_mort,housing_wo_mort,meidan_rent
Alabama,2012,2172647,1837576,2.54,1837576,335071,2.5,9,5.7,122300,1289324,776946,512378,691
Alabama,2013,2190638,1838683,2.55,1838683,339433,2.5,8.9,5.7,122500,1281604,762450,519154,705
Alabama,2014,2178116,1842174,2.55,1842174,348464,2.6,9,5.7,123800,1274196,751234,522962,715
Alabama,2015,2209335,1848325,2.55,1848325,351004,2.5,9,5.7,125500,1269145,738618,530527,717
Alabama,2016,2199329,1851061,2.55,1851061,358274,2.4,9.4,5.7,128500,1267824,730637,537187,728
Alabama,2017,2244462,1856695,2.55,1856695,374431,2.2,10,5.7,132100,1273217,727973,545244,747
Alabama,2018,2231126,1860269,2.55,1860269,384193,2.1,10.2,5.7,137200,1275223,722643,552580,772
Alabama,2019,2255026,1867893,2.55,1867893,387133,1.8,10,5.7,142700,1284748,721628,563120,792
Alabama,2020,2270398,1888504,2.53,1888504,381894,1.6,9.6,5.8,149600,1306505,727377,579128,811
Alabama,2021,2278526,1902983,2.57,1902983,375543,1.4,9.3,5.8,157100,1320571,731317,589254,852
Alaska,2012,305445,252991,2.71,252991,52454,1.4,5.4,4.7,237900,162891,110238,52653,1065
Alaska,2013,307820,251899,2.75,251899,54763,1.5,5.8,4.7,241800,160803,106981,53822,1098
Alaska,2014,306662,251678,2.79,251678,56142,1.6,5.8,4.7,246300,159415,105273,54142,1131
Alaska,2015,309171,250969,2.81,250969,57292,1.7,6.2,4.7,250000,159056,104101,54955,1146
Alaska,2016,308261,250235,2.83,250235,58936,1.9,6.1,4.8,257100,159313,103704,55609,1173
Alaska,2017,315386,252536,2.81,252536,61401,1.8,6.5,4.8,261900,160854,104524,56330,1200
Alaska,2018,313937,253462,2.81,253462,61924,2,6.7,4.7,265200,162172,104091,58081,1231
Alaska,2019,316901,253346,2.8,253346,63555,1.9,7.2,4.7,270400,162996,102554,60442,1244
Alaska,2020,318370,255173,2.78,255173,63197,1.7,7.6,4.8,275600,165376,102364,63012,1240
Alaska,2021,324434,260561,2.72,260561,63873,1.5,7.9,4.8,282800,171207,105565,65642,1279
Arizona,2012,2841432,2357158,2.66,2357158,484274,3.7,10.6,5.3,175900,1544719,1071630,473089,891
Arizona,2013,2874548,2370289,2.67,2370289,489479,3.4,10,5.2,165100,1527475,1038785,488690,896
Arizona,2014,2859768,2387246,2.69,2387246,487302,3.3,9.2,5.2,162900,1513294,1011438,501856,905
Arizona,2015,2913541,2412212,2.69,2412212,478452,2.9,8.6,5.2,167500,1513861,994862,518999,913
Arizona,2016,2890664,2448919,2.69,2448919,464622,2.6,7.9,5.2,176900,1531878,991361,540517,937
Arizona,2017,2970935,2482311,2.68,2482311,459583,2.4,7.4,5.2,193200,1567338,1010928,556410,972
Arizona,2018,2941894,2524300,2.69,2524300,446635,2.2,6.8,5.3,209600,1606065,1031561,574504,1009
Arizona,2019,3003286,2571268,2.68,2571268,432018,1.9,6.2,5.3,225500,1656756,1056797,599959,1052
Arizona,2020,3040595,2643430,2.65,2643430,397165,1.6,5.4,5.3,242000,1727176,1093650,633526,1097
Arizona,2021,3056890,2683557,2.58,2683557,373333,1.3,5,5.3,265600,1765658,1121042,644616,1172
Arkansas,2012,1316874,1128797,2.51,1128797,188077,2.4,9.8,5.4,106300,758814,442495,316319,649
Arkansas,2013,1329139,1129723,2.53,1129723,191049,2.5,9.8,5.4,107300,753793,436577,317216,661
Arkansas,2014,1320772,1132488,2.53,1132488,196651,2.5,9.6,5.4,108700,753620,430443,323177,675
Arkansas,2015,1341391,1138025,2.53,1138025,196991,2.4,9.3,5.4,111400,752312,425775,326537,677
Arkansas,2016,1335016,1141480,2.53,1141480,199911,2.4,8.9,5.4,114700,749452,417765,331687,689
Arkansas,2017,1362040,1147291,2.52,1147291,206454,2.4,8.7,5.4,118500,752633,415721,336912,709
Arkansas,2018,1353745,1152175,2.52,1152175,209865,2.2,8.4,5.4,123300,756431,415474,340957,729
Arkansas,2019,1370281,1158071,2.52,1158071,212210,2,7.9,5.4,127800,759455,413684,345771,745
Arkansas,2020,1379778,1170544,2.5,1170544,209234,1.7,7.4,5.4,133600,770477,417563,352914,760
Arkansas,2021,1361880,1158460,2.53,1158460,203420,1.6,7.2,5.5,142100,765297,414891,350406,803
California,2012,13667226,12466331,2.93,12466331,1200895,2.1,5,5.1,383900,6978397,5239574,1738823,1209
California,2013,13781929,12542460,2.94,12542460,1184409,1.8,4.9,5.1,366400,6939104,5162067,1777037,1224
California,2014,13726869,12617280,2.95,12617280,1164649,1.6,4.6,5.1,371400,6908925,5088986,1819939,1243
California,2015,13911737,12717801,2.96,12717801,1127989,1.4,4.1,5.1,385500,6909176,5035714,1873462,1255
California,2016,13845790,12807387,2.95,12807387,1104350,1.3,3.8,5.1,409300,6929007,5000119,1928888,1297
California,2017,14084824,12888128,2.96,12888128,1108171,1.2,3.6,5.1,443400,7024315,5022376,2001939,1358
California,2018,13996299,12965435,2.96,12965435,1119389,1.2,3.5,5.1,475900,7085435,5022699,2062736,1429
California,2019,14175976,13044266,2.95,13044266,1131710,1.1,3.6,5.1,505000,7154580,5030939,2123641,1503
California,2020,14210945,13103114,2.94,13103114,1107831,1.1,3.7,5.1,538500,7241318,5035650,2205668,1586
California,2021,14328539,13217586,2.92,13217586,1110953,1,3.9,5.1,573200,7335247,5075316,2259931,1698
Colorado,2012,2211615,1962753,2.51,1962753,248862,2.2,6.5,5.7,236800,1293951,974369,319582,915
Colorado,2013,2238624,1977591,2.53,1977591,245191,2,6.1,5.7,236200,1292645,963197,329448,939
Colorado,2014,2222782,1998314,2.54,1998314,240310,1.8,5.5,5.7,239400,1295048,958148,336900,969
Colorado,2015,2284863,2024468,2.55,2024468,236595,1.5,5.1,5.7,247800,1302266,955248,347018,1002
Colorado,2016,2261063,2051616,2.56,2051616,233247,1.3,4.8,5.7,264600,1320617,959882,360735,1057
Colorado,2017,2352202,2082531,2.55,2082531,237206,1.2,4.8,5.7,286100,1348004,972990,375014,1125
Colorado,2018,2319737,2113387,2.56,2113387,238815,1.2,4.9,5.7,313600,1371145,983251,387894,1196
Colorado,2019,2386475,2148994,2.56,2148994,237481,1.1,4.8,5.7,343300,1401735,999647,402088,1271
Colorado,2020,2361372,2137402,2.6,2137402,223970,1,4.9,5.7,369900,1415324,1001804,413520,1335
Colorado,2021,2454873,2227932,2.52,2227932,226941,0.9,5.1,5.7,397500,1473449,1042682,430767,1437
Connecticut,2012,1485445,1360184,2.54,1360184,125261,1.6,7.2,5.7,285900,929560,664223,265337,1044
Connecticut,2013,1490381,1355849,2.55,1355849,131146,1.6,7.1,5.7,278900,919488,652672,266816,1056
Connecticut,2014,1486995,1356206,2.56,1356206,134175,1.7,6.9,5.7,274500,913043,644209,268834,1069
Connecticut,2015,1493798,1352583,2.57,1352583,139203,1.8,6.8,5.7,270500,906227,635162,271065,1075
Connecticut,2016,1491786,1354713,2.56,1354713,139085,1.8,6.5,5.7,269300,900223,625486,274737,1094
Connecticut,2017,1512305,1361755,2.55,1361755,145956,1.9,6.6,5.6,270100,906798,624504,282294,1123
Connecticut,2018,1507711,1367374,2.54,1367374,144931,1.8,6.4,5.6,272700,907134,621120,286014,1156
Connecticut,2019,1516629,1370746,2.53,1370746,145883,1.8,6.3,5.6,275400,905681,614351,291330,1180
Connecticut,2020,1521199,1385437,2.5,1385437,135762,1.5,5.6,5.6,279700,915408,616667,298741,1201
Connecticut,2021,1527039,1397324,2.5,1397324,129715,1.3,5.3,5.6,286700,925503,621236,304267,1260
Delaware,2012,405883,334076,2.62,334076,71807,3,10.5,6.2,241100,242788,169922,72866,985
Delaware,2013,411250,335707,2.63,335707,72158,2.7,10.5,6.2,235800,243223,169535,73688,999
Delaware,2014,407865,339046,2.63,339046,72204,2.5,9.3,6.2,232900,242860,168730,74130,1012
Delaware,2015,417927,344022,2.62,344022,70394,2.2,7.8,6.2,231500,244849,167531,77318,1018
Delaware,2016,414416,348051,2.61,348051,69876,2.2,7.7,6.2,233100,246940,166435,80505,1039
Delaware,2017,428251,352357,2.61,352357,71132,2.1,7.7,6.2,238600,251098,167190,83908,1076
Delaware,2018,423489,357765,2.58,357765,70486,1.9,7.1,6.2,244700,254308,167225,87083,1110
Delaware,2019,433195,363322,2.57,363322,69873,1.8,7,6.2,251100,258780,168110,90670,1130
Delaware,2020,438438,370953,2.54,370953,67485,1.6,6.2,6.3,258300,264915,171529,93386,1150
Delaware,2021,445104,381097,2.51,381097,64007,1.4,5.6,6.3,269700,272435,176819,95616,1199
District of Columbia,2012,296671,261192,2.17,261192,35479,3,6.4,4.2,443000,110853,86252,24601,1200
District of Columbia,2013,300798,263649,2.2,263649,34678,2.6,6.4,4.2,445200,111070,86433,24637,1242
District of Columbia,2014,298327,267415,2.22,267415,33383,2.2,6.4,4.2,454500,111198,85988,25210,1302
District of Columbia,2015,306711,273390,2.22,273390,29922,1.8,5.5,4.3,475800,112750,87023,25727,1327
District of Columbia,2016,303312,276546,2.24,276546,30165,1.7,5.8,4.2,506100,112672,86201,26471,1362
District of Columbia,2017,311545,277985,2.28,277985,30176,1.6,5.9,4.2,537400,115795,88015,27780,1424
District of Columbia,2018,308161,281322,2.29,281322,30223,1.6,6,4.2,568400,117571,88908,28663,1487
District of Columbia,2019,315176,284386,2.3,284386,30790,1.6,6.3,4.1,601500,118367,89672,28695,1541
District of Columbia,2020,319192,288307,2.3,288307,30885,1.4,6.7,4.1,618100,122648,92705,29943,1607
District of Columbia,2021,344306,310104,2.08,310104,34202,1.6,7,4,635900,128720,97763,30957,1681
Florida,2012,8983414,7147013,2.58,7147013,1836401,3.6,11.4,5.1,170800,4865400,3099907,1765493,987
Florida,2013,9051851,7158980,2.61,7158980,1844953,3.3,10.7,5.1,160200,4806997,3001494,1805503,990
Florida,2014,9003933,7217508,2.62,7217508,1834343,3,9.7,5.1,156200,4772944,2916743,1856201,998
Florida,2015,9152815,7300494,2.63,7300494,1794505,2.7,8.9,5.1,159000,4765260,2847869,1917391,1002
Florida,2016,9094999,7393262,2.64,7393262,1759553,2.5,8.5,5.1,166800,4787320,2808279,1979041,1032
Florida,2017,9348689,7510882,2.64,7510882,1748802,2.4,8.5,5.1,178700,4868827,2816670,2052157,1077
Florida,2018,9259684,7621760,2.65,7621760,1726929,2.3,8.4,5.1,196800,4954601,2835760,2118841,1128
Florida,2019,9448159,7736311,2.65,7736311,1711848,2.3,8.4,5.1,215300,5058841,2875285,2183556,1175
Florida,2020,9562324,7931313,2.62,7931313,1631011,2.1,8.2,5.2,232000,5250878,2979345,2271533,1218
Florida,2021,9764897,8157420,2.57,8157420,1607477,1.8,7.9,5.2,248700,5420631,3087300,2333331,1301
Georgia,2012,4086231,3508477,2.7,3508477,577754,3.5,10.8,5.8,156400,2315287,1641089,674198,849
Georgia,2013,4114496,3518097,2.71,3518097,576715,3.2,10.5,5.8,151300,2292030,1601219,690811,860
Georgia,2014,4094812,3540690,2.72,3540690,573806,3,9.7,5.8,148000,2272001,1569099,702902,874
Georgia,2015,4156518,3574362,2.73,3574362,558703,2.7,8.7,5.8,148100,2263697,1539204,724493,879
Georgia,2016,4133065,3611706,2.72,3611706,544812,2.4,7.8,5.8,152400,2266411,1521924,744487,897
Georgia,2017,4241003,3663104,2.71,3663104,540184,2.1,7.4,5.8,158400,2306772,1527772,779000,927
Georgia,2018,4203288,3709488,2.71,3709488,531515,2,7,5.8,166800,2339981,1533925,806056,968
Georgia,2019,4283477,3758798,2.7,3758798,524679,1.9,6.8,5.9,176000,2377773,1547017,830756,1006
Georgia,2020,4329675,3830264,2.68,3830264,499411,1.7,6.5,5.9,190200,2453159,1583038,870121,1042
Georgia,2021,4375039,3885371,2.67,3885371,489668,1.6,6.6,5.9,206700,2506873,1620298,886575,1110
Hawaii,2012,519811,447453,2.95,447453,72358,1.9,9.3,4.6,517000,260268,178516,81752,1354
Hawaii,2013,524852,449771,2.96,449771,72393,1.6,9,4.6,503100,259270,177220,82050,1380
Hawaii,2014,522164,450299,3,450299,74553,1.6,8.7,4.6,504500,257315,174062,83253,1417
Hawaii,2015,530289,450572,3.02,450572,76816,1.4,8.9,4.6,515300,256389,172248,84141,1438
Hawaii,2016,527388,452030,3.03,452030,78259,1.2,9.4,4.6,538400,259854,173799,86055,1456
Hawaii,2017,539053,455502,3.02,455502,80041,1.2,9.4,4.6,563900,264622,175097,89525,1507
Hawaii,2018,535543,456782,3.02,456782,82271,1.3,9.5,4.6,587700,266362,174326,92036,1566
Hawaii,2019,542674,459424,3,459424,83250,1.4,9.4,4.6,615300,270377,176015,94362,1617
Hawaii,2020,546571,467932,2.94,467932,78639,1.2,8.7,4.7,636400,282037,181701,100336,1651
Hawaii,2021,556937,478413,2.95,478413,78524,1.2,8.3,4.7,662100,291814,188593,103221,1755
Idaho,2012,666718,577648,2.66,577648,89070,2.5,7.1,5.7,167100,404863,277185,127678,720
Idaho,2013,675421,579797,2.68,579797,90287,2.4,6.6,5.7,162100,404734,274912,129822,728
Idaho,2014,670084,585259,2.68,585259,90162,2.2,5.9,5.7,160500,404981,272377,132604,738
Idaho,2015,686013,589320,2.69,589320,90982,2,5.5,5.7,162900,405865,270164,135701,743
Idaho,2016,680302,596107,2.69,596107,89906,1.9,5.3,5.7,167900,410538,271206,139332,764
Idaho,2017,711731,609124,2.67,609124,92072,1.8,5.3,5.7,176800,421439,276198,145241,792
Idaho,2018,701196,618331,2.68,618331,93400,1.7,5.4,5.8,192300,428300,277498,150802,825
Idaho,2019,723594,630008,2.68,630008,93586,1.6,5.1,5.8,212300,440716,284487,156229,853
Idaho,2020,737411,649299,2.66,649299,88112,1.2,4.4,5.9,235600,459428,294356,165072,887
Idaho,2021,742145,657101,2.71,657101,85044,0.9,4,5.9,266500,471036,301585,169451,952
Illinois,2012,5293619,4774275,2.62,4774275,519344,2.4,7.1,5.6,190800,3248521,2238082,1010439,877
Illinois,2013,5299433,4772723,2.63,4772723,518981,2.3,7,5.6,182300,3220038,2190976,1029062,890
Illinois,2014,5291704,4778633,2.63,4778633,520800,2.2,6.7,5.6,175700,3194707,2146363,1048344,903
Illinois,2015,5310327,4786388,2.63,4786388,517287,2.1,6.4,5.6,173800,3177705,2104166,1073539,907
Illinois,2016,5303675,4802124,2.61,4802124,508203,2,6.2,5.6,174800,3167081,2071942,1095139,925
Illinois,2017,5347268,4818452,2.61,4818452,516395,1.9,6.4,5.6,179700,3185142,2052491,1132651,952
Illinois,2018,5334847,4830038,2.59,4830038,517230,1.9,6.4,5.6,187200,3189035,2034106,1154929,984
Illinois,2019,5360315,4846134,2.57,4846134,514181,1.8,6.2,5.6,194500,3202715,2027640,1175075,1010
Illinois,2020,5373385,4884061,2.54,4884061,489324,1.6,5.9,5.6,202100,3237778,2032796,1204982,1038
Illinois,2021,5412995,4930255,2.54,4930255,482740,1.5,6,5.6,212600,3279322,2051911,1227411,1097
Indiana,2012,2797237,2478846,2.54,2478846,318391,2.5,8.8,5.7,123400,1749798,1217285,532513,719
Indiana,2013,2811617,2481793,2.55,2481793,319102,2.3,8.4,5.7,122800,1736481,1195208,541273,730
Indiana,2014,2800895,2492183,2.55,2492183,319434,2.3,8,5.7,122700,1730954,1179212,551742,741
Indiana,2015,2830669,2501937,2.55,2501937,318316,2.1,7.8,5.7,124200,1726338,1162555,563783,745
Indiana,2016,2820253,2513828,2.55,2513828,316841,2,7.6,5.8,126500,1727511,1151827,575684,758
Indiana,2017,2870670,2537189,2.53,2537189,318189,1.8,7.3,5.8,130200,1747513,1156975,590538,782
Indiana,2018,2855378,2553818,2.53,2553818,316852,1.7,7.3,5.8,135400,1760732,1158794,601938,807
Indiana,2019,2886548,2570419,2.52,2570419,316129,1.5,7.1,5.8,141700,1776182,1164194,611988,826
Indiana,2020,2903720,2602770,2.5,2602770,300950,1.3,6.5,5.8,148900,1808293,1178246,630047,844
Indiana,2021,2911562,2622601,2.5,2622601,288961,1.1,6.2,5.9,158500,1831953,1195276,636677,891
Iowa,2012,1337410,1223509,2.41,1223509,113901,1.9,6.4,5.9,123000,888331,556168,332163,655
Iowa,2013,1348151,1226547,2.42,1226547,114454,1.8,6.3,5.9,124300,885942,550838,335104,670
Iowa,2014,1341001,1232228,2.42,1232228,115923,1.7,6.2,5.9,126300,884984,546451,338533,689
Iowa,2015,1362619,1236409,2.42,1236409,117855,1.6,6.2,5.9,129200,883808,541161,342647,697
Iowa,2016,1354264,1242641,2.42,1242641,119978,1.5,6.1,5.9,132800,883119,537848,345271,715
Iowa,2017,1386722,1251587,2.41,1251587,124546,1.5,6.2,5.9,137200,889285,541664,347621,740
Iowa,2018,1376133,1256855,2.41,1256855,129867,1.5,6.5,5.9,142300,894152,542373,351779,766
Iowa,2019,1397087,1265473,2.4,1265473,131614,1.4,6.5,5.9,147800,899223,544728,354495,789
Iowa,2020,1407819,1273941,2.4,1273941,133878,1.3,6.5,5.9,153900,906967,547418,359549,806
Iowa,2021,1407100,1275893,2.42,1275893,131207,1.2,6.4,5.9,160700,912969,551824,361145,845
Kansas,2012,1233125,1109391,2.5,1109391,123734,2,7,5.8,127400,756782,485602,271180,715
Kansas,2013,1240529,1110440,2.51,1110440,125045,2,7,5.8,128400,749737,473565,276172,732
Kansas,2014,1235485,1112335,2.52,1112335,128194,2,7.3,5.8,129400,746789,464316,282473,748
Kansas,2015,1248955,1113472,2.53,1113472,130900,1.9,7.4,5.9,132000,742564,455459,287105,757
Kansas,2016,1244372,1115858,2.53,1115858,133097,1.8,7.5,5.9,135300,740343,449676,290667,775
Kansas,2017,1266378,1121943,2.52,1121943,137704,1.8,7.7,5.9,139200,745441,447551,297890,801
Kansas,2018,1259647,1124549,2.52,1124549,141829,1.8,7.9,5.9,145400,745845,445487,300358,831
Kansas,2019,1273297,1129227,2.51,1129227,144070,1.8,7.8,5.9,151900,748123,444331,303792,850
Kansas,2020,1280376,1141985,2.48,1141985,138391,1.6,7.6,6,157600,756309,443530,312779,863
Kansas,2021,1272290,1139738,2.51,1139738,132552,1.4,7.2,6,164800,759042,443123,315919,912
Kentucky,2012,1927916,1691716,2.49,1691716,236200,2.3,7.5,5.5,120000,1162207,718096,444111,638
Kentucky,2013,1938836,1694996,2.5,1694996,235162,2.2,7.3,5.5,120400,1159188,708072,451116,655
